time,open,high,low,close,tick_volume,spread,real_volume
2026-05-08 14:30:00,1.17669,1.17688,1.17644,1.17651,707,0,0
2026-05-08 14:45:00,1.17649,1.1767400000000001,1.17629,1.17652,818,2,0
2026-05-08 15:00:00,1.17652,1.17654,1.17585,1.17593,1180,0,0
2026-05-08 15:15:00,1.17593,1.17671,1.17593,1.1764999999999999,1207,0,0
2026-05-08 15:30:00,1.1764999999999999,1.17787,1.17574,1.17769,2592,0,0
2026-05-08 15:45:00,1.17769,1.17782,1.17709,1.17741,1804,0,0
2026-05-08 16:00:00,1.17738,1.17749,1.17654,1.17676,2167,0,0
2026-05-08 16:15:00,1.17676,1.17788,1.17657,1.17775,1593,0,0
2026-05-08 16:30:00,1.17775,1.1787,1.17757,1.17819,2260,0,0
2026-05-08 16:45:00,1.17819,1.17845,1.17763,1.1779,1578,0,0
2026-05-08 17:00:00,1.17789,1.17797,1.17661,1.17734,1771,0,0
2026-05-08 17:15:00,1.17734,1.17761,1.17673,1.17676,1656,0,0
2026-05-08 17:30:00,1.17676,1.17758,1.17668,1.17729,1554,0,0
2026-05-08 17:45:00,1.17729,1.17765,1.17724,1.17743,1241,0,0
2026-05-08 18:00:00,1.17743,1.17784,1.1768399999999999,1.177,1465,0,0
2026-05-08 18:15:00,1.177,1.17728,1.17663,1.17724,1158,0,0
2026-05-08 18:30:00,1.17724,1.17765,1.17681,1.17734,1446,0,0
2026-05-08 18:45:00,1.17726,1.17784,1.17719,1.17728,1318,0,0
2026-05-08 19:00:00,1.17726,1.17785,1.17709,1.17748,1071,0,0
2026-05-08 19:15:00,1.17748,1.17774,1.17743,1.17765,612,1,0
2026-05-08 19:30:00,1.17765,1.17774,1.17704,1.17723,638,0,0
2026-05-08 19:45:00,1.17723,1.17742,1.17702,1.1771099999999999,606,1,0
2026-05-08 20:00:00,1.1771099999999999,1.17736,1.17697,1.17712,605,0,0
2026-05-08 20:15:00,1.17712,1.17754,1.17707,1.17741,608,1,0
2026-05-08 20:30:00,1.17741,1.17755,1.17722,1.17743,360,2,0
2026-05-08 20:45:00,1.17743,1.1776200000000001,1.17712,1.17712,587,0,0
2026-05-08 21:00:00,1.17718,1.17815,1.17702,1.17801,1289,0,0
2026-05-08 21:15:00,1.17801,1.1780599999999999,1.17763,1.17783,541,0,0
2026-05-08 21:30:00,1.17783,1.1779,1.17759,1.17784,559,2,0
2026-05-08 21:45:00,1.17784,1.17802,1.17742,1.17784,862,1,0
2026-05-08 22:00:00,1.17785,1.1782,1.1777199999999999,1.1781,717,0,0
2026-05-08 22:15:00,1.1781,1.1782,1.17799,1.17817,358,1,0
2026-05-08 22:30:00,1.17817,1.17831,1.17793,1.17822,756,2,0
2026-05-08 22:45:00,1.17822,1.17824,1.17764,1.17801,824,0,0
2026-05-08 23:00:00,1.178,1.17835,1.17776,1.17832,577,3,0
2026-05-08 23:15:00,1.17832,1.17848,1.17827,1.17837,284,3,0
2026-05-08 23:30:00,1.17837,1.17869,1.17829,1.1786,336,3,0
2026-05-08 23:45:00,1.1786,1.17877,1.17824,1.17824,540,0,0
2026-05-11 00:00:00,1.17461,1.17556,1.17393,1.17523,268,2,0
2026-05-11 00:15:00,1.17523,1.1755,1.17473,1.17549,293,7,0
2026-05-11 00:30:00,1.17549,1.17689,1.1752,1.17685,427,3,0
2026-05-11 00:45:00,1.17685,1.17686,1.17596,1.17634,275,5,0
2026-05-11 01:00:00,1.17635,1.17648,1.17577,1.17611,621,0,0
2026-05-11 01:15:00,1.17612,1.17633,1.1758,1.17632,507,3,0
2026-05-11 01:30:00,1.17632,1.17643,1.17621,1.17639,416,3,0
2026-05-11 01:45:00,1.17639,1.17644,1.17626,1.17638,245,3,0
2026-05-11 02:00:00,1.17638,1.17655,1.17632,1.17637,257,2,0
