time,open,high,low,close,tick_volume,spread,real_volume
2026-05-04 16:00:00,1.17092,1.17137,1.17019,1.17072,3814,0,0
2026-05-04 16:30:00,1.17072,1.17178,1.17054,1.17149,3993,0,0
2026-05-04 17:00:00,1.17148,1.17156,1.17061,1.17138,3639,0,0
2026-05-04 17:30:00,1.17138,1.17163,1.17036,1.17072,3134,0,0
2026-05-04 18:00:00,1.17072,1.17156,1.16961,1.17018,5391,0,0
2026-05-04 18:30:00,1.17018,1.1703000000000001,1.1693,1.16971,4810,0,0
2026-05-04 19:00:00,1.16971,1.1701,1.16836,1.16906,5208,0,0
2026-05-04 19:30:00,1.16906,1.16931,1.16809,1.16822,3002,0,0
2026-05-04 20:00:00,1.16822,1.16959,1.16807,1.16947,2988,0,0
2026-05-04 20:30:00,1.16947,1.16971,1.16903,1.16934,1642,0,0
2026-05-04 21:00:00,1.16934,1.16968,1.1688,1.16914,2159,0,0
2026-05-04 21:30:00,1.16917,1.16977,1.16882,1.16972,2172,0,0
2026-05-04 22:00:00,1.1696900000000001,1.17022,1.16934,1.16996,2237,0,0
2026-05-04 22:30:00,1.16996,1.17007,1.1693500000000001,1.16949,1494,0,0
2026-05-04 23:00:00,1.16948,1.16948,1.16861,1.16895,745,3,0
2026-05-04 23:30:00,1.16895,1.16924,1.16888,1.16907,570,2,0
2026-05-05 00:00:00,1.16915,1.16975,1.1684700000000001,1.16916,276,4,0
2026-05-05 00:30:00,1.16916,1.16919,1.1688,1.169,174,5,0
2026-05-05 01:00:00,1.169,1.16924,1.16879,1.1690800000000001,495,2,0
2026-05-05 01:30:00,1.1690800000000001,1.16915,1.16891,1.169,402,3,0
2026-05-05 02:00:00,1.169,1.16922,1.1689,1.16916,342,1,0
2026-05-05 02:30:00,1.16915,1.16927,1.16904,1.16916,338,3,0
2026-05-05 03:00:00,1.16917,1.16939,1.16859,1.16871,1039,1,0
2026-05-05 03:30:00,1.16871,1.16889,1.16838,1.16863,667,1,0
2026-05-05 04:00:00,1.16864,1.16865,1.16788,1.16816,897,0,0
2026-05-05 04:30:00,1.16817,1.16883,1.16811,1.16867,1158,0,0
2026-05-05 05:00:00,1.16867,1.16906,1.16851,1.16897,738,1,0
2026-05-05 05:30:00,1.16897,1.16915,1.16862,1.1687400000000001,738,1,0
2026-05-05 06:00:00,1.16873,1.1688,1.16838,1.1687,795,1,0
2026-05-05 06:30:00,1.1687,1.16871,1.16826,1.16839,535,1,0
2026-05-05 07:00:00,1.16838,1.16866,1.16829,1.16862,574,2,0
2026-05-05 07:30:00,1.16862,1.16873,1.16765,1.16776,1159,0,0
2026-05-05 08:00:00,1.16776,1.16818,1.16761,1.16797,1005,1,0
2026-05-05 08:30:00,1.16797,1.16844,1.16788,1.16831,1350,1,0
2026-05-05 09:00:00,1.16831,1.16873,1.16794,1.1684700000000001,1759,0,0
2026-05-05 09:30:00,1.1684700000000001,1.16895,1.1684,1.16858,1608,0,0
2026-05-05 10:00:00,1.16858,1.16931,1.16856,1.16876,1855,0,0
2026-05-05 10:30:00,1.16876,1.16966,1.1685699999999999,1.16889,2213,0,0
2026-05-05 11:00:00,1.16886,1.16966,1.16877,1.16943,1943,0,0
2026-05-05 11:30:00,1.16942,1.16948,1.1684,1.16887,2108,0,0
2026-05-05 12:00:00,1.16886,1.16903,1.1681,1.16864,2640,0,0
2026-05-05 12:30:00,1.16864,1.16928,1.16854,1.16903,2371,0,0
2026-05-05 13:00:00,1.16902,1.16953,1.16865,1.1694,1629,1,0
2026-05-05 13:30:00,1.16943,1.16976,1.16867,1.16895,1791,0,0
2026-05-05 14:00:00,1.16895,1.16936,1.1682299999999999,1.16926,2348,0,0
2026-05-05 14:30:00,1.16926,1.1694499999999999,1.1687400000000001,1.1689,1887,0,0
2026-05-05 15:00:00,1.16889,1.16977,1.16843,1.16963,3416,0,0
2026-05-05 15:30:00,1.16962,1.1697,1.16894,1.16923,2031,0,0
2026-05-05 16:00:00,1.16923,1.17046,1.1691799999999999,1.17009,2731,0,0
2026-05-05 16:30:00,1.17009,1.17033,1.16956,1.16974,3015,0,0
2026-05-05 17:00:00,1.16975,1.17058,1.16912,1.17011,4369,0,0
2026-05-05 17:30:00,1.17021,1.17058,1.1696900000000001,1.17056,3712,0,0
2026-05-05 18:00:00,1.17056,1.17105,1.17003,1.17058,2712,0,0
2026-05-05 18:30:00,1.17057,1.17135,1.17035,1.17064,2592,0,0
2026-05-05 19:00:00,1.17064,1.17088,1.16982,1.17003,1662,0,0
2026-05-05 19:30:00,1.17003,1.17034,1.16972,1.16993,1702,0,0
2026-05-05 20:00:00,1.16993,1.17015,1.16954,1.1697899999999999,1801,0,0
2026-05-05 20:30:00,1.16989,1.17041,1.16974,1.16987,1540,0,0
2026-05-05 21:00:00,1.16987,1.17008,1.1696900000000001,1.16994,1194,1,0
2026-05-05 21:30:00,1.16993,1.17008,1.16961,1.16995,882,1,0
2026-05-05 22:00:00,1.16999,1.17011,1.16947,1.16953,903,1,0
2026-05-05 22:30:00,1.16953,1.1696900000000001,1.16932,1.16953,1107,1,0
2026-05-05 23:00:00,1.16952,1.16967,1.16933,1.1694499999999999,821,3,0
2026-05-05 23:30:00,1.1694499999999999,1.16947,1.1692,1.16924,395,3,0
2026-05-06 00:00:00,1.16914,1.16937,1.16876,1.16924,171,3,0
2026-05-06 00:30:00,1.16924,1.16939,1.16921,1.16929,123,3,0
2026-05-06 01:00:00,1.16929,1.16951,1.16916,1.16926,448,2,0
2026-05-06 01:30:00,1.16927,1.17094,1.16914,1.17051,1278,0,0
2026-05-06 02:00:00,1.17051,1.17253,1.17046,1.17175,2364,0,0
2026-05-06 02:30:00,1.17175,1.17212,1.17137,1.17146,1187,0,0
2026-05-06 03:00:00,1.17146,1.1718,1.17103,1.17137,2179,0,0
2026-05-06 03:30:00,1.17137,1.17214,1.17129,1.17201,1577,0,0
2026-05-06 04:00:00,1.17199,1.17252,1.17169,1.1722299999999999,1677,1,0
2026-05-06 04:30:00,1.1722299999999999,1.17259,1.17182,1.17212,1522,1,0
2026-05-06 05:00:00,1.17212,1.17248,1.17176,1.17183,1509,1,0
2026-05-06 05:30:00,1.17183,1.17196,1.17148,1.17173,965,2,0
2026-05-06 06:00:00,1.17173,1.1722,1.17165,1.17202,1103,0,0
2026-05-06 06:30:00,1.17201,1.1723,1.17158,1.17169,1045,0,0
2026-05-06 07:00:00,1.17169,1.17283,1.17153,1.17282,1358,0,0
2026-05-06 07:30:00,1.17282,1.17428,1.17262,1.1736900000000001,5016,0,0
2026-05-06 08:00:00,1.1736900000000001,1.17381,1.17299,1.17331,2345,0,0
2026-05-06 08:30:00,1.17331,1.17333,1.17302,1.17328,1148,0,0
2026-05-06 09:00:00,1.1733,1.17351,1.173,1.17322,1997,0,0
2026-05-06 09:30:00,1.17322,1.17356,1.1727400000000001,1.17333,1689,0,0
2026-05-06 10:00:00,1.17333,1.17368,1.17263,1.17297,2268,0,0
2026-05-06 10:30:00,1.17297,1.17382,1.17237,1.17377,2521,0,0
2026-05-06 11:00:00,1.17377,1.17398,1.17322,1.17378,2585,0,0
2026-05-06 11:30:00,1.17378,1.17705,1.17372,1.1762299999999999,4458,0,0
2026-05-06 12:00:00,1.1762299999999999,1.17697,1.17555,1.17664,3555,0,0
2026-05-06 12:30:00,1.17664,1.1777,1.17642,1.17738,2826,0,0
2026-05-06 13:00:00,1.17747,1.1777,1.17657,1.17693,2423,0,0
2026-05-06 13:30:00,1.17693,1.17966,1.17693,1.17889,4450,0,0
2026-05-06 14:00:00,1.17889,1.17917,1.1781,1.17851,3667,0,0
2026-05-06 14:30:00,1.17851,1.17866,1.17675,1.17699,3819,0,0
2026-05-06 15:00:00,1.17699,1.177,1.17517,1.17603,4569,0,0
2026-05-06 15:30:00,1.17603,1.17639,1.17524,1.17535,3626,0,0
2026-05-06 16:00:00,1.17535,1.17591,1.17459,1.17507,4043,0,0
2026-05-06 16:30:00,1.17507,1.1756199999999999,1.17471,1.17516,3568,0,0
2026-05-06 17:00:00,1.17516,1.1752,1.17444,1.1746699999999999,3890,0,0
2026-05-06 17:30:00,1.17468,1.17628,1.17463,1.1755,3957,0,0
2026-05-06 18:00:00,1.1755,1.17553,1.17481,1.1753,2607,0,0
2026-05-06 18:30:00,1.1753,1.17584,1.17511,1.17527,2177,0,0
2026-05-06 19:00:00,1.17527,1.17534,1.17484,1.17507,2043,1,0
2026-05-06 19:30:00,1.17507,1.17529,1.17412,1.17443,2206,0,0
2026-05-06 20:00:00,1.17443,1.17555,1.17423,1.17533,1521,1,0
2026-05-06 20:30:00,1.17535,1.17538,1.17438,1.17481,1613,0,0
2026-05-06 21:00:00,1.17481,1.17496,1.17442,1.17456,1537,0,0
2026-05-06 21:30:00,1.17456,1.17515,1.17446,1.17493,1280,0,0
2026-05-06 22:00:00,1.17493,1.17555,1.17486,1.17534,1201,0,0
2026-05-06 22:30:00,1.17534,1.17534,1.17466,1.17476,1493,0,0
2026-05-06 23:00:00,1.17475,1.17504,1.17458,1.17476,791,3,0
2026-05-06 23:30:00,1.17482,1.17489,1.17447,1.17479,510,3,0
2026-05-07 00:00:00,1.17459,1.17489,1.17428,1.17479,293,10,0
2026-05-07 00:30:00,1.17479,1.17507,1.17477,1.17496,239,3,0
2026-05-07 01:00:00,1.17496,1.17511,1.17488,1.17498,380,3,0
2026-05-07 01:30:00,1.17498,1.17512,1.1749,1.17504,461,3,0
2026-05-07 02:00:00,1.17504,1.17519,1.17478,1.17486,381,2,0
2026-05-07 02:30:00,1.1749,1.17493,1.17459,1.17478,433,2,0
2026-05-07 03:00:00,1.17478,1.1754,1.17459,1.17485,2195,0,0
2026-05-07 03:30:00,1.17485,1.17506,1.17466,1.17485,1263,0,0
2026-05-07 04:00:00,1.17485,1.17578,1.17462,1.17568,1831,0,0
2026-05-07 04:30:00,1.17568,1.17633,1.17553,1.1758899999999999,1414,0,0
2026-05-07 05:00:00,1.17588,1.17609,1.17544,1.17565,913,0,0
2026-05-07 05:30:00,1.17565,1.17578,1.17544,1.17561,923,1,0
2026-05-07 06:00:00,1.17561,1.17566,1.17524,1.17525,947,1,0
2026-05-07 06:30:00,1.17526,1.1753,1.17478,1.17488,1042,1,0
2026-05-07 07:00:00,1.17485,1.1752799999999999,1.1747,1.17515,767,2,0
2026-05-07 07:30:00,1.17519,1.17535,1.17499,1.17509,970,1,0
2026-05-07 08:00:00,1.17509,1.17533,1.17488,1.17514,1112,1,0
2026-05-07 08:30:00,1.17514,1.17537,1.175,1.1751800000000001,1102,1,0
2026-05-07 09:00:00,1.17517,1.17523,1.1746699999999999,1.17478,1497,1,0
2026-05-07 09:30:00,1.17478,1.17568,1.17443,1.1748,3078,0,0
2026-05-07 10:00:00,1.1748,1.17686,1.17479,1.17639,3850,0,0
2026-05-07 10:30:00,1.17646,1.17677,1.1761300000000001,1.17669,2977,0,0
2026-05-07 11:00:00,1.17669,1.17715,1.17629,1.17696,2546,0,0
2026-05-07 11:30:00,1.17696,1.17741,1.17679,1.17717,1945,0,0
2026-05-07 12:00:00,1.17717,1.17719,1.17655,1.17685,2134,0,0
2026-05-07 12:30:00,1.1768399999999999,1.17783,1.17671,1.17702,2408,1,0
2026-05-07 13:00:00,1.1770100000000001,1.1776,1.17678,1.17743,2062,0,0
2026-05-07 13:30:00,1.17749,1.17757,1.17645,1.1767,2099,0,0
2026-05-07 14:00:00,1.1767,1.17685,1.17619,1.17641,2166,0,0
2026-05-07 14:30:00,1.17642,1.17702,1.17619,1.1769,1967,1,0
2026-05-07 15:00:00,1.17691,1.17733,1.17669,1.1770100000000001,2448,0,0
2026-05-07 15:30:00,1.1770100000000001,1.17779,1.17681,1.17728,2659,1,0
2026-05-07 16:00:00,1.17728,1.1777,1.1769,1.17754,2739,0,0
2026-05-07 16:30:00,1.17754,1.17755,1.1766,1.1768399999999999,3667,0,0
2026-05-07 17:00:00,1.1768399999999999,1.17732,1.17631,1.17695,3224,0,0
2026-05-07 17:30:00,1.17695,1.1777199999999999,1.17668,1.17757,3298,0,0
