open,high,low,close,tick_volume,EMA_20,EMA_50,RSI,MACD,Signal,Histogram
1.17414,1.1744,1.17394,1.17415,939,1.174701666725543,1.1754887783097594,39.393939393939846,-0.00038896233913932043,-0.0004049526931465003,1.5990354007179867e-05
1.17415,1.17475,1.17407,1.17463,896,1.1746948413231102,1.1754551007289844,54.09836065573938,-0.0003486803233647695,-0.00039369821919015414,4.5017895825384636e-05
1.17463,1.17482,1.17416,1.17437,1053,1.1746639040542424,1.1754125477592203,44.66666666666484,-0.00033388751529761507,-0.00038173607841164635,4.784856311403128e-05
1.17437,1.17444,1.1737,1.17418,1327,1.1746178179538385,1.1753642125529766,49.629629629631275,-0.00033364941763491807,-0.00037211874625630074,3.846932862138267e-05
1.17418,1.1744,1.17382,1.17411,1164,1.1745694543391871,1.1753150277469775,43.02788844621249,-0.00033524464690048994,-0.00036474392638513863,2.949927948464869e-05
1.17409,1.17475,1.17358,1.17472,2145,1.1745837920211695,1.1752916933255275,51.851851851852956,-0.00028401304992198284,-0.0003485977510925075,6.458470117052465e-05
1.17472,1.17498,1.1743,1.17477,1481,1.1746015261143914,1.1752712347637422,53.17725752508605,-0.0002366491143981353,-0.00032620802375363304,8.955890935549775e-05
1.17477,1.17499,1.17402,1.17405,1481,1.1745489998177827,1.1752233432043797,43.92265193370164,-0.0002542796593365537,-0.00031182235087021717,5.754269153366345e-05
1.17405,1.17408,1.17328,1.17396,1534,1.1744929045970416,1.1751738003336198,38.55072463768075,-0.0002723744776291781,-0.00030393277622200933,3.155829859283123e-05
1.17396,1.17425,1.17355,1.17364,1873,1.1744116755877996,1.1751136513009288,33.51498637602299,-0.00030897441244381874,-0.00030494110346637125,-4.033308977447489e-06
1.17364,1.1739,1.17261,1.17299,1510,1.1742762779127711,1.1750303708577552,28.738317757010435,-0.00038598035097425765,-0.0003211489529679485,-6.483139800630912e-05
1.17303,1.17354,1.17269,1.17351,1700,1.1742032990639357,1.1749707484711764,38.29321663019846,-0.00040043252103694194,-0.00033700566658174724,-6.34268544551947e-05
1.17351,1.17358,1.173,1.17332,1313,1.1741191753435607,1.1749060132370128,41.27358490565916,-0.0004223488078836102,-0.00035407429484211986,-6.827451304149032e-05
1.17332,1.17351,1.17285,1.17328,1553,1.174039253882269,1.174842248012032,39.90498812351905,-0.0004378974792547119,-0.0003708389317246383,-6.705854753007357e-05
1.17327,1.17361,1.1727,1.17359,1955,1.1739964677982433,1.1747931402468543,43.77777777777672,-0.0004203598573460088,-0.00038074311684891245,-3.9616740497096334e-05
1.17359,1.17365,1.17274,1.17278,1726,1.1738806137222202,1.174714193570507,30.84886128364299,-0.00046644451417132693,-0.0003978833963133954,-6.856111785793155e-05
1.17278,1.1729,1.1721,1.1724,1479,1.1737396028915326,1.1746234408814675,30.101010101011227,-0.0005275485100981747,-0.00042381641907035127,-0.00010373209102782345
1.17244,1.17322,1.17232,1.17313,1335,1.1736815454732914,1.1745648745723904,40.437158469945004,-0.0005111764441136923,-0.0004412884240790195,-6.988802003467286e-05
1.17314,1.17336,1.17283,1.17325,1067,1.1736404459044065,1.1745133108636692,42.23826714801321,-0.0004829513047344136,-0.0004496210002100983,-3.3330304524315305e-05
1.17325,1.17373,1.17308,1.1737,1198,1.1736461177230344,1.174481416319996,40.52044609665358,-0.0004194364370755377,-0.0004435840875831862,2.4147650507648532e-05
